Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Greenland",GRL,19004.0034517255,19275.4328079683,20652.8412682386,27459.8739400887,32023.6838333629,32489.7277309899,35458.2523102144,39780.9453548225,44366.7873192441,44918.8441762242,43988.5280290494,47186.8800831628,45936.9599532616,47535.4910353877,50485.227411927,44536.3560872963
"Grenada",GRD,4840.68406406257,4821.78499467448,4992.44140704535,5435.15180621121,5470.60331451653,6308.66504213503,6295.28117153806,6790.63408004111,7343.44526962639,6810.44031784436,6760.97488416081,6775.74927822931,6900.76507593244,7205.25476521885,7726.37826175954,8379.62184743156
"Guam",GUM,..,..,20878.059583054,21844.110536463,23590.8880271213,25621.845162075,25735.5396994079,26686.8168217379,28277.432083776,29335.2776765099,30011.2185803948,30087.7155914011,31642.1462570316,32318.8908975541,33483.9414359299,34522.3779304433
"Guatemala",GTM,1664.30771229348,1550.36184517092,1682.99450068936,1737.87928692973,1859.09933815088,2068.48816115505,2251.07883321194,2490.74777415501,2802.45145888652,2651.83160866108,2852.55765185029,3228.03813963203,3355.03459892096,3522.76754110253,3779.62604225079,3994.62908519019
"Guinea",GIN,359.286670086831,335.014292825944,343.934594296268,392.879844202245,405.696059760439,321.338633237121,452.2761597158,657.993473782574,712.099416044254,670.26125355912,667.281601915278,644.502548629055,707.967678161242,757.692272508395,774.56903955885,756.425589848067
"Guinea-Bissau",GNB,301.495570983325,312.253566549183,324.969900021511,362.906159269682,394.99579795052,425.471888739986,418.902079020379,480.438602162665,583.268305934105,543.562469248304,542.284101219589,683.534475992031,598.572626243274,616.159928711499,605.122546472108,585.957012585401
"Guyana",GUY,938.893297983287,937.29799054185,955.030210470206,976.99326161471,1036.01987731035,1085.78488650781,3138.08220390545,3609.90851528849,4011.38689701565,4213.81622922287,4589.87249015273,4960.00472639074,5461.39007580443,5576.25021487173,5495.37708403271,5668.42976474423
"Haiti",HTI,814.997919687219,743.911273114589,716.482616034623,575.556830068016,679.280054303546,771.535002681156,824.358051848209,979.599640864098,1089.57635502893,1191.80293520311,1204.86205532083,1306.84531878112,1356.17277659383,1452.31354765263,1454.64917470105,1405.71478574853
"Honduras",HND,1079.6056663087,1118.94089428633,1119.42425078788,1142.81137174778,1201.24750461917,1289.8231369221,1409.579723383,1559.88604406996,1713.41813419051,1762.34916029174,1874.27170372599,2053.95973112624,2107.34548058009,2064.55051938928,2164.42451571622,2257.22528369354
"Hong Kong SAR, China",HKG,25756.7739743351,25230.3780910304,24665.8372860636,23977.1734120477,24928.1003722551,26649.6365819624,28224.093945162,30593.952481061,31515.5278612495,30697.5383861641,32550.137885731,35142.4879344543,36730.7977743272,38403.7777145477,40315.3722179377,42432.1619740441
